Close,return,P/E,β,empty_Close,empty_return,empty_P/E,empty_β
37.50,0.02026,0.000540268,0.070935623,0.0,0.0,0.0,0.0
38.27,0.0121426,0.000317309,0.071063104,0.0,0.0,0.0,0.0
38.74,0.0059202,0.000152839,0.07219144,0.0,0.0,0.0,0.0
38.97,0.0061405,0.00015759,0.065197649,0.0,0.0,0.0,0.0
39.21,-0.0227019,-0.000579055,0.065429452,0.0,0.0,0.0,0.0
38.33,0.0040362,0.000105315,0.066832413,0.0,0.0,0.0,0.0
38.48,-0.0079578,-0.000206803,0.066343464,0.0,0.0,0.0,0.0
38.18,0.0325997,0.000853954,0.0650751,0.0,0.0,0.0,0.0
39.44,-0.0092977,-0.000235742,0.066026914,0.0,0.0,0.0,0.0
39.08,-0.0104188,-0.000266635,0.048260092,0.0,0.0,0.0,0.0
38.67,0.066101,0.001709362,0.047749524,0.0,0.0,0.0,0.0
41.31,0.0071754,0.000173686,0.047552861,0.0,0.0,0.0,0.0
41.61,0.0004805,1.15486E-05,0.046214167,0.0,0.0,0.0,0.0
41.63,0.0280091,0.000672809,0.049145664,0.0,0.0,0.0,0.0
42.81,0.0169648,0.000396257,0.048826225,0.0,0.0,0.0,0.0
43.55,0.0003444,7.90933E-06,0.048473137,0.0,0.0,0.0,0.0
43.56,-0.019121,-0.000438959,0.048261526,0.0,0.0,0.0,0.0
42.74,-0.0031053,-7.26646E-05,0.048268962,0.0,0.0,0.0,0.0
42.60,-0.0057674,-0.000135378,0.04789633,0.0,0.0,0.0,0.0
42.36,0.0085802,0.000202567,0.047104197,0.0,0.0,0.0,0.0
42.72,-0.0041634,-9.74516E-05,0.045656262,0.0,0.0,0.0,0.0
42.55,0.0036366,8.54761E-05,0.045154623,0.0,0.0,0.0,0.0
42.70,-0.0022273,-5.21617E-05,0.0451579,0.0,0.0,0.0,0.0
42.61,0.0029881,7.01358E-05,0.045735865,0.0,0.0,0.0,0.0
42.73,0.0064148,0.000150114,0.04561919,0.0,0.0,0.0,0.0
43.01,-0.0056545,-0.000131477,0.047781958,0.0,0.0,0.0,0.0
42.77,0.0111038,0.000259647,0.046478402,0.0,0.0,0.0,0.0
43.24,0.0072581,0.000167846,0.046156072,0.0,0.0,0.0,0.0
43.56,0.0005738,1.31731E-05,0.045608834,0.0,0.0,0.0,0.0
43.58,0.0030928,7.09639E-05,0.043322005,0.0,0.0,0.0,0.0
43.72,-0.0098846,-0.000226101,0.043477065,0.0,0.0,0.0,0.0
43.29,0.0104563,0.000241554,0.044034922,0.0,0.0,0.0,0.0
43.74,0.0050168,0.00011469,0.043884869,0.0,0.0,0.0,0.0
43.96,-0.0018214,-4.14305E-05,0.044913842,0.0,0.0,0.0,0.0
43.88,-0.0057706,-0.000131502,0.047264157,0.0,0.0,0.0,0.0
43.63,-0.0116421,-0.000266837,0.046890219,0.0,0.0,0.0,0.0
43.13,0.002374,5.50491E-05,0.055256711,0.0,0.0,0.0,0.0
43.23,0.0340558,0.000787826,0.056446635,0.0,0.0,0.0,0.0
44.73,0.0111727,0.000249808,0.056233739,0.0,0.0,0.0,0.0
45.23,0.0044123,9.75588E-05,0.055296414,0.0,0.0,0.0,0.0
45.43,0.0110553,0.000243361,0.057524833,0.0,0.0,0.0,0.0
45.93,0.0129243,0.000281377,0.055938641,0.0,0.0,0.0,0.0
46.53,0.0101567,0.000218283,0.055869871,0.0,0.0,0.0,0.0
47.01,-0.0079563,-0.000169264,0.054858489,0.0,0.0,0.0,0.0
46.63,0.0087006,0.000186578,0.054824039,0.0,0.0,0.0,0.0
47.04,0.0361683,0.000768884,0.052783198,0.0,0.0,0.0,0.0
48.77,-0.0209258,-0.000429049,0.052687595,0.0,0.0,0.0,0.0
47.76,-0.0121648,-0.000254693,0.052884426,0.0,0.0,0.0,0.0
47.19,-0.0103854,-0.0002201,0.052196725,0.0,0.0,0.0,0.0
46.70,0.0089539,0.000191742,0.051912176,0.0,0.0,0.0,0.0
47.12,0.0013256,2.81338E-05,0.052501311,0.0,0.0,0.0,0.0
47.18,0.0064964,0.000137695,0.053172807,0.0,0.0,0.0,0.0
47.49,0.0067683,0.000142528,0.052481246,0.0,0.0,0.0,0.0
47.81,0.0144321,0.000301863,0.051714792,0.0,0.0,0.0,0.0
48.51,0.0068316,0.000140843,0.051460827,0.0,0.0,0.0,0.0
48.84,0.001739,3.56069E-05,0.051285179,0.0,0.0,0.0,0.0
48.92,0.006672,0.000136378,0.050694211,0.0,0.0,0.0,0.0
49.25,0.0156135,0.000317026,0.050655999,0.0,0.0,0.0,0.0
50.03,-0.003003,-6.00301E-05,0.05104122,0.0,0.0,0.0,0.0
49.88,0.0055983,0.000112247,0.050948652,0.0,0.0,0.0,0.0
50.16,-0.008359,-0.000166664,0.050671205,0.0,0.0,0.0,0.0
49.74,-0.0004022,-8.08629E-06,0.0506249,0.0,0.0,0.0,0.0
49.72,0.0018086,3.63774E-05,0.050333671,0.0,0.0,0.0,0.0
49.81,0.0001004,2.01539E-06,0.053346571,0.0,0.0,0.0,0.0
49.81,0.0192859,0.000387169,0.053215647,0.0,0.0,0.0,0.0
50.78,0.0035873,7.06408E-05,0.05291311,0.0,0.0,0.0,0.0
50.97,0.0032812,6.43811E-05,0.052735407,0.0,0.0,0.0,0.0
51.13,0.0143203,0.000280062,0.05243375,0.0,0.0,0.0,0.0
51.87,-0.0015435,-2.97572E-05,0.051837593,0.0,0.0,0.0,0.0
51.79,-0.0091165,-0.000176029,0.051672939,0.0,0.0,0.0,0.0
51.32,-0.0047854,-9.32463E-05,0.051381458,0.0,0.0,0.0,0.0
51.08,0.0015162,2.96863E-05,0.050056134,0.0,0.0,0.0,0.0
51.15,-0.019444,-0.000380117,0.047536792,0.0,0.0,0.0,0.0
50.17,0.0479189,0.000955178,0.048015549,0.0,0.0,0.0,0.0
52.63,-0.006529,-0.000124054,0.048900116,0.0,0.0,0.0,0.0
52.29,0.0123546,0.000236283,0.045783701,0.0,0.0,0.0,0.0
52.94,-0.0155632,-0.000293992,0.04857762,0.0,0.0,0.0,0.0
52.12,-0.027327,-0.00052431,0.048332303,0.0,0.0,0.0,0.0
50.72,0.0001972,3.88762E-06,0.04720159,0.0,0.0,0.0,0.0
50.73,-0.0108023,-0.000212959,0.047250442,0.0,0.0,0.0,0.0
