Date,Close,return,P/E,β
7/21/20,$97.00,0.0028053,2.8921E-05,0.312952127
7/22/20,$97.27,-0.0465849,-0.000478911,0.3126145
7/23/20,$92.85,-0.0024803,-2.67146E-05,0.310156499
7/24/20,$92.62,0.0234238,0.000252916,0.309471735
7/27/20,$94.81,-0.016564,-0.000174708,0.310108927
7/28/20,$93.25,0.018987,0.000203608,0.30857409
7/29/20,$95.04,0.0120275,0.000126552,0.311310117
7/30/20,$96.19,0.0995635,0.001035071,0.309461663
7/31/20,$106.26,0.0248854,0.000234194,0.308730852
8/3/20,$108.94,0.0066559,6.10987E-05,0.308238843
8/4/20,$109.67,0.0036181,3.29925E-05,0.305482951
8/5/20,$110.06,0.0342944,0.000311591,0.301607767
8/6/20,$113.90,-0.0247996,-0.000217727,0.299768915
8/7/20,$111.11,0.0144302,0.00012987,0.29500462
8/10/20,$112.73,-0.0301911,-0.000267823,0.292036133
8/11/20,$109.38,0.032694,0.000298916,0.291143575
8/12/20,$113.01,0.0175428,0.000155232,0.290390446
8/13/20,$115.01,-0.0008916,-7.75258E-06,0.289585727
8/14/20,$114.91,-0.0026142,-2.27506E-05,0.289146282
8/17/20,$114.61,0.0082983,7.24059E-05,0.288632148
8/18/20,$115.56,0.0012539,1.08508E-05,0.288585086
8/19/20,$115.71,0.021947,0.000189676,0.291794908
8/20/20,$118.28,0.0502486,0.000424845,0.291657046
8/21/20,$124.37,0.0118893,9.55964E-05,0.291899416
8/24/20,$125.86,-0.0082376,-6.54515E-05,0.29164968
8/25/20,$124.83,0.0135074,0.000108211,0.290499025
8/26/20,$126.52,-0.0120264,-9.50536E-05,0.29005047
8/27/20,$125.01,-0.0016212,-1.29684E-05,0.289593203
8/28/20,$124.81,0.0333499,0.000267211,0.286722292
8/31/20,$129.04,0.0390597,0.000302695,0.287564425
9/1/20,$134.18,-0.0209361,-0.00015603,0.28267429
9/2/20,$131.40,-0.0834478,-0.000635067,0.282111726
9/3/20,$120.88,0.0006616,5.47315E-06,0.285147671
9/4/20,$120.96,-0.0696663,-0.000575945,0.285058573
9/8/20,$112.82,0.0391116,0.000346673,0.288279956
9/9/20,$117.32,-0.0331905,-0.000282906,0.286755805
9/10/20,$113.49,-0.0132159,-0.00011645,0.287400371
9/11/20,$112.00,0.0295155,0.000263531,0.286886919
9/14/20,$115.36,0.0016025,1.38916E-05,0.285240914
9/15/20,$115.54,-0.0299579,-0.000259286,0.285775157
9/16/20,$112.13,-0.0160924,-0.000143516,0.282862069
9/17/20,$110.34,-0.0322341,-0.000292134,0.28150318
9/18/20,$106.84,0.029875,0.000279624,0.280933843
9/21/20,$110.08,0.0155936,0.000141657,0.281655479
9/22/20,$111.81,-0.0428513,-0.000383251,0.281239391
9/23/20,$107.12,0.0102165,9.53743E-05,0.281291402
9/24/20,$108.22,0.0368296,0.000340321,0.280251682
9/25/20,$112.28,0.0235885,0.000210086,0.280472998
9/28/20,$114.96,-0.0075966,-6.60806E-05,0.280418167
9/29/20,$114.09,0.0149633,0.000131154,0.280146627
9/30/20,$115.81,0.0084265,7.27617E-05,0.281022775
10/1/20,$116.79,-0.0328127,-0.000280954,0.280921874
10/2/20,$113.02,0.0303265,0.000268328,0.281529571
10/5/20,$116.50,-0.0290885,-0.000249687,0.27993773
10/6/20,$113.16,0.0168248,0.000148681,0.279435163
10/7/20,$115.08,-0.0009563,-8.30999E-06,0.279163529
10/8/20,$114.97,0.0172463,0.000150007,0.276751071
10/9/20,$116.97,0.0615847,0.0005265,0.276533718
10/12/20,$124.40,-0.0268855,-0.000216122,0.276042591
10/13/20,$121.10,0.0007429,6.13469E-06,0.275739166
10/14/20,$121.19,-0.0039686,-3.27468E-05,0.275156484
10/15/20,$120.71,-0.0140994,-0.000116804,0.276670495
10/16/20,$119.02,-0.0258738,-0.00021739,0.276095548
10/19/20,$115.98,0.0131057,0.000112999,0.276067075
10/20/20,$117.51,-0.0054612,-4.64746E-05,0.275296642
10/21/20,$116.87,-0.0096295,-8.23951E-05,0.274521579
10/22/20,$115.75,-0.0061528,-5.31559E-05,0.274116196
10/23/20,$115.04,8.692E-05,7.55585E-07,0.273977362
10/26/20,$115.05,0.0133825,0.000116319,0.2789132
10/27/20,$116.60,-0.0474189,-0.00040668,0.279535883
10/28/20,$111.20,0.0363805,0.000327163,0.274186906
